ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
6836e6f80ca06e620471efbe1f47dffe	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA
37882b6bb8cdbbbff3072efb27e6a400	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	NA
829b1795d54b70a746e61cfd52e45ea9	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	NA
c386dac39b3ebd27095ac8c251446b5c	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella	NA
8fea6fb414f3973c60bb3d9c9b396391	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
d5d959e6e6cb636fd4585e0239ec553d	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA
698cf7d8b2f55b82e3f713fc18c4b87b	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
f5b36d223324383df303174975ce46d5	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
dde6d3e36af306c913854a9cf0ddf248	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
8423a9f05b92bba9c5d2697c36485a65	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA
932cc3598a5a491d01293d1fd0b12455	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azovibrio	uncultured_Rhodocyclaceae
b4c9bc9315d2331ee859d99151ef4b46	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	NA
65e2fe387bfdf0fa880811cceac1d59e	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	NA
415f6326db8ff708fd70099a66272884	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Candidimonas	NA
cca4a38762c3bde6cb7b81f9a9dec1fb	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	NA
3b44d1945a2407d9ab7532d922449c28	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	NA
c68c29d09b76c6738c7e138485cb0638	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
fc6860b1c95c1b6cded315eeadaa050f	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
d04db31eb1abae895d806b53ef3e6d33	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
34c96010138828f09e10b3d5ad631124	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	NA
8cf45fe9e1251163b5d801841857a873	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
8a8d0fe96314c7a28699dcb2d50ba208	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
6696a9b327fc53e2858a3ca41510cf1b	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
98bc1ec29a4c0f9fbf70d7bfa48a48b6	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	NA
061cc3fd68a078dfc17c89dd4e7c1d57	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
7bae376e41b6259952179d259f069c1e	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
90a9d4d5f86538db13546b1af5a3c12d	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
db431a73f1abbf372b647689d257f143	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
5350d8b2e0bdea124d2ee6a212529ec7	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ff89f465bc34d53198a8bcedf522c73f	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	NA
3104b6d0a19cead576153e29ab3d5548	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
c55921c345b9ecb6218606ccb7b737da	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA
8c4cabe11dcdb4267580ca78c7e9cb1b	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax	NA
07a956f6d0d25ec64c55a3ccad822a79	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
63719f456a56665896ab7d78348f3883	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	NA
457491634b8821dc5deb9c84592ee131	d__Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	NA
bca9a01bc0f1a53f653d915a988412eb	d__Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_ANT.L52.2	uncultured_bacterium
1ef5541d1bf7253bf8e32886d3e04452	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
3a52e05d3198c009ed1bcd7c679bcc8c	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
6046b7b2bc54ba0c301760564920de90	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
9da64c749f2d1f106e576e103abf3592	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_cyanobacterium
435a037d1b3f31666e8d9e3d1aa4bb75	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	uncultured_bacterium
97246926b8c03eaffd18b2a7055730bb	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	NA
861806ad17843667ed829012fab13ab3	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	NA
a780da65ba59fb272a4a81c25cc4a65c	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	NA
bbb1363eb3c792a606b9b298e63d2ed3	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	NA
8892cfd0f95b2d3d5bf77c127f619430	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	NA
dde2e900713762f0de2e9c12b37862f5	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	uncultured_bacterium
099e990d2a72bcde49037f215bceffe4	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix_PCC-6303	NA
67b5014de3b542867a20880532eb3648	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix_PCC-6303	uncultured_cyanobacterium
9264716d9e541adcc734900a783ff258	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix_PCC-6303	uncultured_cyanobacterium
a06f9c33343c6a52f56d42af34f27328	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc_PCC-73102	NA
793183a5ebe1d609a1b23efcb85ecca8	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Scytonema_UTEX_2349	Toxopsis_calypsus
d12e461f4a56fa7304f42f31a4024365	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Scytonema_UTEX_2349	NA
47b4154f55c5ffbd966dc6bb0bcfc48c	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Dapisostemonum_CCIBt_3536	Dapisostemon_apicaliramis
a4c3485cd7129e80db25b6393e333d98	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
ba332132aebf785863bcd77d5a2a65f4	d__Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
0c33b66e5284b45647ddb0219e5cec4b	d__Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
4326fca357f84d240c1336ae26f459d5	d__Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
fdf625d4c0cc6895a87a0023e3f52a18	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
ddbb3a2a7d6486a2201bb8770feb0a6d	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
d499ea4449d3cffa7a5acfbd226fc1bb	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
5502d5699b37790ac43b2b75532a621b	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
ce0fe9dd4a105852b029c2ab1d997024	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
f61bb013d7b0348b65975072ceb09619	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
1ab5f68f3e755878ca8afdb5563c218f	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
a3856381d1f19248dbe50d2c16724665	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
2ae8d0f7c8332e3df1366d60f0726123	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
713eae4c577dd5b3f8a4448c1173b23b	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
c3463ea4a604e0fd848ca2ceda06ca9e	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
ad4056eac2e7cbef811432e72eed6f52	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
3137676e72277173e6b9e9630ef18bee	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
54459e59e8344a06665a8e2d734bd918	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
b74fb77d1e3038ad7239c9c9a4dd36be	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
ed08849f037a13ec071c44366d8029a8	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
0a650376bddbd340d0494907ab3c892c	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
a877d39eed7fd090191019d61b4aa1ec	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
a17b7b0b059c0ff6f3a50c30272ec893	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
11be956e8b33ae5031de5d3be792c33e	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
d4e1bad156b1cac400e6d00c5a83512b	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
8f1cc7f72ac6c8542db82222104ce32e	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
794abc83beea78b6b6b44ee2043a3746	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
149ff2029c30eb2342d05344d9af29db	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
36bb717d13e68ed4719be14301b5e1d1	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
54e7b2139640ec28fbaf7f0491cad845	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
705d53c2b383d3d3a804afa8fbb2db8a	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
1bc1c2d08bb32d49f6095c52e6ac1876	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	uncultured_Streptophyta
2e74be53b6ee8ded1af833202c19931b	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
74eb42089635632919bff035677eacf9	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Myrmecia_israeliensis
da3a12b9d65930c33d447d14adf8dd1a	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	uncultured_Chlorophyta
922d59e2ac30e517253bbcee836ceb16	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	uncultured_Chlorophyta
e4a4f2899fd5a101eb3451507b24423f	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
0f8b275c51a0f7b7d9c53748b4daca03	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
966558565f78941a9f7329b84f3e02f1	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Prasiolopsis_sp.
e66741e5f1b594e738ef4ffa5a3d328d	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
7b5f0042ef3d5b32faee86f4b10578a6	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Castanea_mollissima
bc87d429952f1b6c15580c6272af8d53	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Hydra_vulgaris
7312bb1dc386eb1e89c0a902eef94f47	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
474c81150d943d20a43cb50bf794531b	d__Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
d05d070d32c6213a6582f7915690c2fb	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Bacillaria_paxillifer
07b4d1ff39fc193ca91d28378707dd0e	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	uncultured_eukaryote
d0bc2ccfe65e8cba6c1cf36cf84b12e8	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
af347ab82f76c2802339bcfcad64e876	d__Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	NA
aaf344f31b490a7eb8abed2fc4779d46	d__Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	NA
dc88e11a77e2b2eb43220feb2b0fe283	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
1f4f4a82b05eeccd5361047345201e66	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
11ac8c8845b2d52338ae6cebbc46cc59	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
629fa344088d4409fb10e0a7eb146966	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
5ed915849ceab1448b5ae668b343880d	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
f2d6f45e647d5b9452dab5a20bfcc610	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
9c6fba5073178ddcfceb388ba50e74bf	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_glacialis
ad60e26c25dca0db8c328a4c5b89d4c4	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
4e406aa6fa7635c37d0d4f7d53027ab3	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
39032f4b6765815d5012773e6807e4be	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
136ca9b97798351efb59288e82d8354d	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
47f767fa0aa58b6fa4f65bc2ad363734	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
08d0848a24ebeec1222f773985c4dc1e	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
e77fa224f4daa1089398172aa2349e00	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
115e07ab1cb6d15fd1d4d6ec2377dd97	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
a27c0544a0789a4e34dc33c69ff79640	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
7f5617f25a0e021c7118ffef1592897e	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
45114cc2a223e679265c91349e3c9aea	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c61818888d576e2e31ecc7976e5fef1d	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
6cd60bd37f00b25bbec8e13e44854beb	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
b3e9b641b57872026412d490cbc468d1	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
85fbf5156b9db032349dd426fc932066	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
edadcb9ff063dcc6f30dce2d4fa11d8d	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
7a3061caae576ef1d984a4a4bd9b3d3e	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ef087a20fd410bcdfbb7061775ffda7b	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
7504e43cc8000a50c129d2fb3b9d41d4	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
098b8fcccf0479ff60a34fc1a3a973a7	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
56df6786c42e98626965087948e3862d	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
1fe06c655749d9051e893ad040357e59	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
d65925b0f6fd918c3590be78a9f5d18f	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
eb0ecb91d62ee68eb343a2aba7d3dd13	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_astaxanthinifaciens
33cda4849202146ad57876c3c7d52d6a	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ad759d9fbfce393e4857716f753d9bef	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
ec428ae3f4595a0b1963aea156e42e15	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
4b770aaf4fab1bff6d933974cb2d32d5	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
4990a28c16957c1eb8cadc95debb64e7	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
54580fb940f267b8e94283e28ad1f13f	d__Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
c638e73dc441f51bee5d4090827af6ac	d__Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_Incertae_Sedis	Constrictibacter	uncultured_bacterium
e3607cf04dca53612ad9c386876c1962	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	uncultured	uncultured	uncultured_bacterium
2df836c908b2263e29287bd2a7594b02	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Nitrospirillum	Rhodospirillaceae_bacterium
112be712df9ca848615717e61ecb85a1	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
91d5f7d02f6123e4ba67b90826bea339	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
41930d173ce056a9863a6901cc814202	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
1b8c587ade117b2745461e92e508101f	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
6df9b905ebe6da843309a6cda640b74d	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
51a0434af2bbc59d347878c0d1e2e8e6	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
78279a36a87aba9168ac78cbfaf57e62	d__Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA
